08-29 11:45:08.722     0     0 I I00000/HiLog: ========Zeroth log of type: init
08-30 16:42:49.475 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onCursorContextChange,x:1177,y:435,h:37
08-30 16:42:49.475 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: do getForward
08-30 16:42:49.476 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onTextChange, len:2
08-30 16:42:49.476 31257 31257 I A000ff/HMKeyboard_InputManager: this.inputTextLength = 2
08-30 16:42:49.476 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.476 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.476 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onTextChange
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onSelectionChange, ob: 1, oe: 1, nb: 2, ne: 2
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_PrefixAssociate: inputText is undefined, return
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_AutoCalcUtil: No calc character.
08-30 16:42:49.477 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onSelectionChange
08-30 16:42:49.478 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: updateTextBeforeCursor end
08-30 16:42:49.505 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.505 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.UP
08-30 16:42:49.505 31257 31257 I A000ff/HMKeyboard_HardInputShortCutKey: checkShortCutForSwitchZhEn isSingleShiftKeyUp: false, isSingleCtrlKeyUp: false
08-30 16:42:49.505 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyUp. isShortCutForSwitchZhEn: false
08-30 16:42:49.506 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.506 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.DOWN
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown, isShift:false, isCtrl:false, isCapsLock:false, isAlt:false, isNumLock:false, isAlphaKeyboardExist: false, isSoftKeyboardShow: true, isfull:false, isSpace:false, keysLenght: 1
08-30 16:42:49.507 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForSwitchSimpAndTradi. because isNotValidScene. so ignore.
08-30 16:42:49.507 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenEmojiSymbol. because isNotValidScene. so ignore.
08-30 16:42:49.507 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenVoiceInput. because isNotValidScene. so ignore.
08-30 16:42:49.507 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenHandwritingInput. because isNotValidScene. so ignore.
08-30 16:42:49.507 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenInputMethodMenu. because isNotValidScene. so ignore.
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_BaseKeyboardControll: handleBoMState: current isTempBoHardMState = false
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown. isZh: true, isInputStateZH: false,true,local:zh_CN
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.507 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown by script, just return, isAlphaKeyboardExist: false
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onCursorContextChange,x:1193,y:435,h:37
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: do getForward
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onTextChange, len:3
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_InputManager: this.inputTextLength = 3
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.525 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onTextChange
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onSelectionChange, ob: 2, oe: 2, nb: 3, ne: 3
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_PrefixAssociate: inputText is undefined, return
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_AutoCalcUtil: No calc character.
08-30 16:42:49.526 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onSelectionChange
08-30 16:42:49.527 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: updateTextBeforeCursor end
08-30 16:42:49.544 31257 31257 I A000ff/HMKeyboard_ScreenUtils: isScreedLocked: false
08-30 16:42:49.581 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.581 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.UP
08-30 16:42:49.581 31257 31257 I A000ff/HMKeyboard_HardInputShortCutKey: checkShortCutForSwitchZhEn isSingleShiftKeyUp: false, isSingleCtrlKeyUp: false
08-30 16:42:49.581 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyUp. isShortCutForSwitchZhEn: false
08-30 16:42:49.582 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.582 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.DOWN
08-30 16:42:49.582 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown, isShift:false, isCtrl:false, isCapsLock:false, isAlt:false, isNumLock:false, isAlphaKeyboardExist: false, isSoftKeyboardShow: true, isfull:false, isSpace:false, keysLenght: 1
08-30 16:42:49.582 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForSwitchSimpAndTradi. because isNotValidScene. so ignore.
08-30 16:42:49.582 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenEmojiSymbol. because isNotValidScene. so ignore.
08-30 16:42:49.582 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenVoiceInput. because isNotValidScene. so ignore.
08-30 16:42:49.582 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenHandwritingInput. because isNotValidScene. so ignore.
08-30 16:42:49.582 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenInputMethodMenu. because isNotValidScene. so ignore.
08-30 16:42:49.583 31257 31257 I A000ff/HMKeyboard_BaseKeyboardControll: handleBoMState: current isTempBoHardMState = false
08-30 16:42:49.583 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown. isZh: true, isInputStateZH: false,true,local:zh_CN
08-30 16:42:49.583 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.583 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.583 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown by script, just return, isAlphaKeyboardExist: false
08-30 16:42:49.592 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onCursorContextChange,x:1205,y:435,h:37
08-30 16:42:49.592 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: do getForward
08-30 16:42:49.592 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onTextChange, len:4
08-30 16:42:49.592 31257 31257 I A000ff/HMKeyboard_InputManager: this.inputTextLength = 4
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onTextChange
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onSelectionChange, ob: 3, oe: 3, nb: 4, ne: 4
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_PrefixAssociate: inputText is undefined, return
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_AutoCalcUtil: No calc character.
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onSelectionChange
08-30 16:42:49.593 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: updateTextBeforeCursor end
08-30 16:42:49.636 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.636 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.UP
08-30 16:42:49.637 31257 31257 I A000ff/HMKeyboard_HardInputShortCutKey: checkShortCutForSwitchZhEn isSingleShiftKeyUp: false, isSingleCtrlKeyUp: false
08-30 16:42:49.637 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyUp. isShortCutForSwitchZhEn: false
08-30 16:42:49.638 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.638 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.DOWN
08-30 16:42:49.638 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown, isShift:false, isCtrl:false, isCapsLock:false, isAlt:false, isNumLock:false, isAlphaKeyboardExist: false, isSoftKeyboardShow: true, isfull:false, isSpace:false, keysLenght: 1
08-30 16:42:49.639 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForSwitchSimpAndTradi. because isNotValidScene. so ignore.
08-30 16:42:49.639 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenEmojiSymbol. because isNotValidScene. so ignore.
08-30 16:42:49.639 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenVoiceInput. because isNotValidScene. so ignore.
08-30 16:42:49.639 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenHandwritingInput. because isNotValidScene. so ignore.
08-30 16:42:49.639 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenInputMethodMenu. because isNotValidScene. so ignore.
08-30 16:42:49.639 31257 31257 I A000ff/HMKeyboard_BaseKeyboardControll: handleBoMState: current isTempBoHardMState = false
08-30 16:42:49.639 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown. isZh: true, isInputStateZH: false,true,local:zh_CN
08-30 16:42:49.639 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.639 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.639 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown by script, just return, isAlphaKeyboardExist: false
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onCursorContextChange,x:1224,y:435,h:37
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: do getForward
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onTextChange, len:5
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_InputManager: this.inputTextLength = 5
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.660 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onTextChange
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onSelectionChange, ob: 4, oe: 4, nb: 5, ne: 5
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_PrefixAssociate: inputText is undefined, return
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_AutoCalcUtil: No calc character.
08-30 16:42:49.661 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onSelectionChange
08-30 16:42:49.662 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: updateTextBeforeCursor end
08-30 16:42:49.694 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.694 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.UP
08-30 16:42:49.694 31257 31257 I A000ff/HMKeyboard_HardInputShortCutKey: checkShortCutForSwitchZhEn isSingleShiftKeyUp: false, isSingleCtrlKeyUp: false
08-30 16:42:49.694 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyUp. isShortCutForSwitchZhEn: false
08-30 16:42:49.697 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.697 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.DOWN
08-30 16:42:49.697 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown, isShift:false, isCtrl:false, isCapsLock:false, isAlt:false, isNumLock:false, isAlphaKeyboardExist: false, isSoftKeyboardShow: true, isfull:false, isSpace:false, keysLenght: 1
08-30 16:42:49.698 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForSwitchSimpAndTradi. because isNotValidScene. so ignore.
08-30 16:42:49.698 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenEmojiSymbol. because isNotValidScene. so ignore.
08-30 16:42:49.698 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenVoiceInput. because isNotValidScene. so ignore.
08-30 16:42:49.698 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenHandwritingInput. because isNotValidScene. so ignore.
08-30 16:42:49.698 31257 31257 W A000ff/HMKeyboard_HardInputShortCutKey: isShortCutForOpenInputMethodMenu. because isNotValidScene. so ignore.
08-30 16:42:49.698 31257 31257 I A000ff/HMKeyboard_BaseKeyboardControll: handleBoMState: current isTempBoHardMState = false
08-30 16:42:49.698 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown. isZh: true, isInputStateZH: false,true,local:zh_CN
08-30 16:42:49.698 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.698 31257 31257 I A000ff/HMKeyboard_AutoPairSymbolInput: inputPattern:-1
08-30 16:42:49.698 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyDown by script, just return, isAlphaKeyboardExist: false
08-30 16:42:49.712 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onCursorContextChange,x:1236,y:435,h:37
08-30 16:42:49.712 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: do getForward
08-30 16:42:49.712 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onTextChange, len:6
08-30 16:42:49.712 31257 31257 I A000ff/HMKeyboard_InputManager: this.inputTextLength = 6
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onTextChange
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onSelectionChange, ob: 5, oe: 5, nb: 6, ne: 6
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_KeyboardModeManager: isHandWriteOnKbd isInputStatus false
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_PrefixAssociate: inputText is undefined, return
08-30 16:42:49.713 31257 31257 I A000ff/HMKeyboard_AutoCalcUtil: No calc character.
08-30 16:42:49.714 31257 31257 I A000ff/HMKeyboard_TextPreviewManager: onSelectionChange
08-30 16:42:49.714 31257 31257 I A000ff/HMKeyboard_TextBeforeCursorGett: updateTextBeforeCursor end
08-30 16:42:49.747 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateHardCapsLockKeyState. capsLock state is : false
08-30 16:42:49.748 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyEventNew. the action is Action.UP
08-30 16:42:49.748 31257 31257 I A000ff/HMKeyboard_HardInputShortCutKey: checkShortCutForSwitchZhEn isSingleShiftKeyUp: false, isSingleCtrlKeyUp: false
08-30 16:42:49.748 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onKeyUp. isShortCutForSwitchZhEn: false
08-30 16:42:49.869 31257 31257 I A000ff/HMKeyboard_EngineTool: setParameter:{"0":0,"1":1,"2":1,"3":0,"10":0,"11":1,"12":0,"13":1,"15":2,"16":1,"17":1,"18":1,"19":1,"20":2,"21":0,"22":0,"23":1}
08-30 16:42:50.002  1418  1418 I A04200/WINDOW: SCBScreen: [SCBKeyboardAnimate] finished, callingId: 525, isActive: true, animCnt: 0
08-30 16:42:50.002  1418  1418 I A04200/WINDOW: SCBScreen: [SCBKeyboardAnimate] notifyKeyboardAnimationCompleted, callingId: 525, isActive: true, animCnt: 0
08-30 16:42:50.003  1418  1418 I A0420b/WMSKeyboard: notifyKeyboardAnimationCompleted, callingId:525, isKeyboardShow:true
08-30 16:42:50.056  1418  1418 W A01c06/ICON: AppIconWeatherModel --> initWeatherListener, retryTimes: 4
08-30 16:42:50.060  1418  1418 E A01c06/ICON: AppIconWeatherModel --> get weather info failed, code: 15700010, message: The DataShareHelper is not initialized successfully.
08-30 16:42:50.395  1418  1418 I A04215/WMSHierarchy: request top id: 525, 5
08-30 16:42:50.395  1418  1418 I A04215/WMSHierarchy: onRaiseSceneToTop with persistentId:525
08-30 16:42:50.395  1418  1418 I A04200/WINDOW: SCBSPVM: getSceneContainerSessionWithPersistentId from containerSessionList id: 525
08-30 16:42:50.395  1418  1418 I A04200/WINDOW: SCBSPM: Remove container id: 63, 525
08-30 16:42:50.395  1418  1418 I A01b09/RECENT: RecentDockRefreshAlarm: start alarm recent dock: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:50.497  1418  1418 I A01b01/HOME: RecentDockModel: app is already first in recent dock
08-30 16:42:50.497  1418  1418 I A01b09/RECENT: RecentDockRefreshAlarm: refresh recent dock: KanxiaobanAbility/com.gxoc.kxbai/kanxiaoban/0(persistentId: 525)(containerId: 63)
08-30 16:42:50.594 31257 31257 I A000ff/HMKeyboard_BaseIMEAbilityEventD: onSetSubtype
08-30 16:42:50.594 31257 31257 I A000ff/HMKeyboard_InputManager: onSetSubtype called subType : InputPwdService
08-30 16:42:50.594 31257 31257 I A000ff/HMKeyboard_InputManager: switchSubtype InputPwdService
08-30 16:42:50.594 31257 31257 I A000ff/HMKeyboard_SubTypeManager: switch to:InputPwdService
08-30 16:42:50.594 31257 31257 W A000ff/HMKeyboard_SubTypeManager: unknown layout id = InputPwdService
08-30 16:42:50.594 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: onSetSubtype call newSubType: InputPwdService, subType: InputZhService, lastSubType: InputZhService
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: subtype change: { locale : , mode : , id : InputPwdService },
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_HardwareInputManager:         lastSubtype:{ locale : zh_CN, mode : lower, id : InputZhService }
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_HardwareInputUtils: updateSubTypeWhenInvalid, this.lastSubType InputZhService, lower
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_HardwareInputUtils: updateSubTypeWhenInvalid onSetSubtype mode or locale is null. so update newSubType to : InputZhService, lastSubType is InputZhService
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_KeyboardPyWindow: update chinese status on subType change and isZh is true
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: onSetSubtype
08-30 16:42:50.595 31257 31257 I A000ff/HMKeyboard_BaseKeyboardControll: setBoHardKeyMState: current m state = false, new state = false
08-30 16:42:50.596 31257 31257 I A000ff/HMKeyboard_EnterSendMsgManager: isEnterMsgOpen is same as the last time, ignore.
08-30 16:42:50.596 31257 31257 I A000ff/HMKeyboard_ZhMixedInputHelper: subtype: InputPwdService
08-30 16:42:50.597  1418  1418 I A0420b/WMSKeyboard: Skip state change, sessionState: 2, state: 4
08-30 16:42:50.597  1418  1418 I A0420b/WMSKeyboard: keyboardStateChange, callingSessionId: 525, keyboardStateChange, EffectOption:[0, 0, 0, 0]
08-30 16:42:50.597  1418  1418 I A0420b/WMSKeyboard: ViewMode: 0,blurHeight: 0,FlowLightMode: false,GradientMode : false
08-30 16:42:50.599  1418  1418 I A0420b/WMSKeyboard: notifyKeyboardStateChange, state: 5, targDispId: 0, targDispMode: 1, curDispId: 0
08-30 16:42:50.599  1418  1418 I A0420b/WMSKeyboard: onSessionStateChange, id: 548, state: 5
08-30 16:42:50.600  1418  1418 W A04204/WMSScb: SCBKeyboardPanel sessionChangeCallback is null 
08-30 16:42:50.600  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: dialog change , isShowDialog = false
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: onKeyboardStateChange, id: 548, callingId: 525, sessionState: 5
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: check calling window zindex: [undefined, 0, 100, 97]
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: updateKeyboardState typeof SCBSceneSession
08-30 16:42:50.601  1418  1418 I A01b00/SCB: LuoShuStateManager --> getLuoShuStateInfo: SCBKeyboardManager {"luoShuState":0,"scenePanelState":1,"eventType":7,"screenInfo":{"isLandscape":true,"foldState":1},"screenId":0,"holdingHandStatus":1}
08-30 16:42:50.601  1418  1418 I A01b00/SCB: LuoShuStateManager --> isSupportHookScreenSize: 0 0, bundleName: undefined
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: getKeyboardState, specificPanelZorder: undefined, windType: 1, classType: 0, isLuoShuState: false, isOneStepSplit: false, mainId: undefined, showBelowKeyguard: true, isScreenLocked: false, isShowWhenLocked calling: false, main: undefined
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: scene session, id: 525
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: scene session, id: 525
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: getKeyboardState, IsAboveFloatContainer: false
08-30 16:42:50.601  1418  1418 I A0420b/WMSKeyboard: updateKeyboardContainer, newKeyboardState: 1, curKeyboardState: 1, sessionState: 5, isActive: false
08-30 16:42:50.601  1418  1418 I A0ff00/SEARCH: [HiSearch]: HiSearchComponent, isKeyboardShow: false, getKeyboardPanelRealRect: {"left":{"value":0},"top":{"value":1114},"width":{"value":2880},"height":{"value":806}}
08-30 16:42:50.601  1418  1418 E A0ff00/SEARCH: [HiSearch]: [SceneCommonUIExtEvents], Proxy is not exist
08-30 16:42:50.601  1418  1418 I A0ff00/SEARCH: [HiSearch]: [SceneCommonUIExtEvents], sendEvents: keyboardHeight
08-30 16:42:50.602  1418  1418 I A0ff00/SEARCH: [HiSearch]: HiSearchComponent, keyboardHeight, 0
08-30 16:42:50.606  1418  1418 I A04200/WINDOW: SCBScreen: [SCBKeyboard] changeKeyboardState, keyboardState: 1, isActive: false,
08-30 16:42:50.606  1418  1418 I A04200/WINDOW:       callingId: 525
08-30 16:42:50.606  1418  1418 I A0420b/WMSKeyboard: openKeyboardSyncTransaction id: 548
08-30 16:42:50.613 31257 31257 I A000ff/HMKeyboard_InputPanel: onPanelChange isShowing: false, windowName: imeWindow, panelFlag: 0
08-30 16:42:50.613 31257 31257 I A000ff/HMKeyboard_ApsSwitcher: finishAps
08-30 16:42:50.614 31257 31257 I A000ff/HMKeyboard_DisplayWrapper: clear display cache
08-30 16:42:50.614 31257 31257 I A000ff/HMKeyboard_SkinRefunded: current theme id: -1
08-30 16:42:50.615 31257 31257 I A000ff/HMKeyboard_SkinRefunded: not expired
08-30 16:42:50.616 31257 31257 I A000ff/HMKeyboard_HiAnalyticsCollector: onEvent 4005
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_BaseKBDDelegateEvent: onEditorAttributeChanged come
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_FakeInputConnection: set analytics proxy
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_DisplayWrapper: clear display cache
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_DfxHaEventReporter: begin:type::PANEL_SHOW::requestId:PANEL_SHOW
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_SkinManager: darkModeChange: true, skinId: 
08-30 16:42:50.617 31257 31257 I A000ff/HMKeyboard_KeyboardController: input pattern changed to: 7, isWallpaperDark:true, fbe? false
08-30 16:42:50.618 31257 31257 I A000ff/HMKeyboard_ScreenUtils: isScreedLocked: false
08-30 16:42:50.619 31257 31257 I A000ff/HMKeyboard_KeyboardController: this.inputPattern:-1, inputPattern:7, enterKeyType:6
08-30 16:42:50.619 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: updateEditAttributeEmailType: normal switch to special, save ime layout = chinese
08-30 16:42:50.619 31257 31257 I A000ff/HMKeyboard_HardwareInputManager: switchPwdSubType: return, is not hard input mode!
08-30 16:42:50.619 31257 31257 I A000ff/HMKeyboard_KeyboardPyWindow: update chinese status on subType change and isZh is false
08-30 16:42:50.620 31257 31257 I A000ff/HMKeyboard_KeyboardToolWindow: panelPosition undefined
08-30 16:42:50.621 31257 31257 I A000ff/HMKeyboard_pages_index: onMenuTypeChange start menuType: 9
08-30 16:42:50.621  1418  1418 I A01c10/IMSAKIT: SCBIMFKeyboardPanel: disableShow, newState: 1, curState: 4, name: AboveSpecificScene, isActive: true
08-30 16:42:50.621 31257 31257 I A000ff/HMKeyboard_pages_index: this.isMenuTypeChange = true
08-30 16:42:50.621 31257 31257 I A000ff/HMKeyboard_pages_index: current menutype is 0, next menutype is 9
